amount,transaction_type,merchant_category,location,device_used,is_fraud
23.32,transfer,entertainment,New York,atm,False
24.58,transfer,online,Tokyo,atm,False
13.24,transfer,online,Tokyo,mobile,False
32.67,transfer,online,New York,atm,False
5.36,transfer,online,Tokyo,atm,False
1384.5,deposit,entertainment,Tokyo,mobile,False
27.05,transfer,online,Tokyo,atm,False
26.02,transfer,entertainment,Tokyo,atm,False
74.25,transfer,online,Tokyo,mobile,False
1383.65,deposit,online,New York,atm,False
450.76,deposit,entertainment,New York,mobile,False
591.22,deposit,entertainment,New York,atm,False
33.04,transfer,online,Tokyo,mobile,False
9.31,transfer,entertainment,Tokyo,mobile,False
43.06,transfer,online,Tokyo,mobile,False
1266.19,deposit,online,Tokyo,atm,False
29.28,transfer,entertainment,New York,mobile,False
518.5,deposit,entertainment,New York,mobile,False
16.48,transfer,online,New York,mobile,False
19.37,transfer,entertainment,New York,mobile,False
963.92,deposit,online,Tokyo,mobile,False
1567.48,deposit,entertainment,New York,mobile,False
23.83,transfer,online,New York,atm,False
1197.31,deposit,online,Tokyo,mobile,False
1531.72,deposit,online,Tokyo,atm,False
988.6,deposit,online,Tokyo,mobile,False
681.62,deposit,entertainment,Tokyo,atm,False
23.17,transfer,online,New York,mobile,False
99.82,transfer,entertainment,Tokyo,mobile,False
44.03,transfer,online,Tokyo,atm,False
26.85,transfer,entertainment,Tokyo,atm,False
6.94,transfer,online,New York,mobile,False
763.68,deposit,online,New York,atm,False
23.27,transfer,online,Tokyo,mobile,False
7.11,transfer,entertainment,Tokyo,mobile,False
15.18,transfer,online,Tokyo,mobile,False
823.76,deposit,online,Tokyo,atm,False
1211.1,deposit,online,Tokyo,atm,False
25.04,transfer,entertainment,Tokyo,mobile,False
1328.03,deposit,entertainment,Tokyo,mobile,False
865.13,deposit,entertainment,Tokyo,mobile,False
674.61,deposit,online,Tokyo,atm,False
1358.86,deposit,entertainment,New York,atm,False
14.71,transfer,online,Tokyo,atm,False
1131.17,deposit,online,New York,mobile,False
1193.86,deposit,online,New York,mobile,False
490.66,deposit,entertainment,New York,atm,False
6.84,transfer,entertainment,New York,atm,False
19.51,transfer,online,Tokyo,atm,False
778.82,deposit,online,Tokyo,mobile,False
17.5,transfer,online,New York,atm,False
31.19,transfer,online,New York,mobile,False
1714.08,deposit,online,New York,mobile,False
15.64,transfer,entertainment,Tokyo,atm,False
2074.17,deposit,online,Tokyo,mobile,False
970.85,deposit,entertainment,Tokyo,mobile,False
1638.6,deposit,online,Tokyo,atm,False
1295.99,deposit,entertainment,Tokyo,mobile,False
20.69,transfer,entertainment,Tokyo,atm,False
803.47,deposit,online,New York,atm,False
27.81,transfer,online,New York,mobile,False
31.78,transfer,online,New York,mobile,False
923.67,deposit,online,New York,atm,False
0.01,deposit,online,Tokyo,atm,False
542.75,deposit,entertainment,New York,mobile,False
3.55,transfer,entertainment,Tokyo,mobile,False
1702.93,deposit,entertainment,New York,atm,False
18.19,transfer,entertainment,Tokyo,atm,False
11.16,transfer,entertainment,New York,atm,False
385.36,deposit,online,New York,mobile,False
20.36,transfer,online,New York,mobile,False
1465.36,deposit,entertainment,Tokyo,atm,False
13.04,transfer,entertainment,New York,atm,False
13.67,transfer,entertainment,Tokyo,atm,False
1135.81,deposit,online,Tokyo,atm,False
16.9,transfer,online,New York,atm,False
26.33,transfer,entertainment,Tokyo,mobile,False
19.44,transfer,entertainment,Tokyo,mobile,False
9.05,transfer,online,Tokyo,mobile,False
21.51,transfer,entertainment,Tokyo,mobile,False
1691.18,deposit,entertainment,Tokyo,mobile,False
22.41,transfer,entertainment,Tokyo,mobile,False
17.48,transfer,entertainment,New York,atm,False
39.61,transfer,entertainment,New York,atm,False
1570.91,deposit,entertainment,New York,mobile,False
24.02,transfer,online,New York,mobile,False
15.13,transfer,online,Tokyo,atm,False
1063.05,deposit,entertainment,New York,mobile,False
427.21,deposit,entertainment,Tokyo,mobile,False
499.2,deposit,online,Tokyo,mobile,False
1261.56,deposit,online,Tokyo,mobile,False
8.68,transfer,online,Tokyo,atm,False
30.91,transfer,online,New York,atm,False
1281.57,deposit,online,New York,mobile,False
10.08,transfer,entertainment,Tokyo,atm,False
1389.91,deposit,online,Tokyo,atm,False
20.39,transfer,online,New York,mobile,False
34.83,transfer,entertainment,New York,atm,False
35.14,transfer,entertainment,Tokyo,atm,False
755.56,deposit,online,Tokyo,mobile,False
9.98,transfer,online,Tokyo,mobile,False
2018.89,deposit,online,New York,mobile,False
421.05,deposit,online,New York,atm,False
10.34,transfer,entertainment,Tokyo,mobile,False
1395.82,deposit,entertainment,New York,atm,False
12.56,transfer,online,New York,mobile,False
39.02,transfer,online,New York,atm,False
1106.44,deposit,entertainment,Tokyo,atm,False
1263.76,deposit,entertainment,New York,atm,False
14.1,transfer,online,New York,mobile,False
14.16,transfer,online,Tokyo,atm,False
1082.81,deposit,online,Tokyo,mobile,False
558.79,deposit,entertainment,New York,mobile,False
883.74,deposit,entertainment,Tokyo,mobile,False
5.92,transfer,entertainment,New York,mobile,False
2021.39,deposit,online,New York,mobile,False
17.43,transfer,entertainment,New York,mobile,False
1217.92,deposit,entertainment,New York,mobile,False
1032.12,deposit,entertainment,New York,mobile,False
1791.15,deposit,online,Tokyo,mobile,False
26.76,transfer,online,Tokyo,mobile,False
21.62,transfer,entertainment,Tokyo,mobile,False
1510.32,deposit,entertainment,Tokyo,atm,False
348.88,deposit,entertainment,New York,mobile,False
1163,deposit,online,New York,atm,False
4.97,deposit,online,New York,mobile,False
1283.26,deposit,online,Tokyo,atm,False
551.71,deposit,online,New York,atm,False
20.05,transfer,entertainment,New York,mobile,False
394.65,deposit,online,Tokyo,atm,False
16.64,transfer,entertainment,New York,atm,False
114.99,transfer,online,Tokyo,mobile,False
467.23,deposit,online,Tokyo,atm,False
17.38,transfer,online,Tokyo,atm,False
14.64,transfer,online,New York,atm,False
21.44,transfer,entertainment,New York,atm,False
637.44,deposit,entertainment,Tokyo,mobile,False
1215.2,deposit,online,New York,atm,False
957.55,deposit,online,Tokyo,mobile,False
13.52,transfer,entertainment,New York,mobile,False
813.39,deposit,entertainment,Tokyo,mobile,False
702.45,deposit,entertainment,New York,atm,False
1127.97,deposit,online,Tokyo,atm,False
833.42,deposit,entertainment,New York,mobile,False
730.6,deposit,online,New York,atm,False
32.04,transfer,online,Tokyo,mobile,False
11.73,transfer,entertainment,Tokyo,atm,False
631.76,deposit,entertainment,New York,mobile,False
22.07,transfer,entertainment,Tokyo,mobile,False
21.66,transfer,online,Tokyo,mobile,False
22.39,transfer,entertainment,Tokyo,atm,False
1304.3,deposit,online,New York,atm,False
0.01,deposit,entertainment,New York,mobile,False
6.6,transfer,entertainment,New York,atm,False
13.89,transfer,online,Tokyo,mobile,False
43.78,transfer,entertainment,Tokyo,atm,False
28.13,transfer,online,New York,mobile,False
408.58,deposit,online,New York,mobile,False
1635.54,deposit,entertainment,Tokyo,mobile,False
98.57,transfer,online,New York,mobile,False
48.83,transfer,entertainment,New York,atm,False
165.24,transfer,online,New York,mobile,False
1404.98,deposit,entertainment,Tokyo,mobile,False
20.56,transfer,online,New York,atm,False
971.76,deposit,entertainment,New York,atm,False
470.91,deposit,online,New York,mobile,False
866.87,deposit,online,Tokyo,mobile,False
819.16,deposit,entertainment,Tokyo,mobile,False
9.95,transfer,entertainment,New York,mobile,False
54.55,transfer,online,New York,mobile,False
11.18,transfer,online,Tokyo,atm,False
10.67,transfer,entertainment,New York,mobile,False
11.79,transfer,entertainment,New York,atm,False
6.45,transfer,online,Tokyo,atm,False
38.57,transfer,online,Tokyo,atm,False
721.22,deposit,entertainment,New York,mobile,False
781.45,deposit,online,New York,mobile,False
14.71,transfer,online,Tokyo,mobile,False
19.77,transfer,online,New York,atm,False
26.63,transfer,online,New York,mobile,False
699.12,deposit,entertainment,Tokyo,atm,False
23.44,transfer,entertainment,New York,mobile,False
57.06,transfer,entertainment,New York,mobile,False
32.86,transfer,online,New York,mobile,False
813.69,deposit,online,New York,atm,False
25.11,transfer,online,New York,atm,False
16.88,transfer,entertainment,New York,mobile,False
1354.49,deposit,online,New York,mobile,False
26.58,transfer,entertainment,New York,atm,False
