ingresos,aprobacion
2.48,1
6.9,0
3.9,0
2.18,0
6.04,1
7.69,1
6.85,1
2.51,0
4.14,1
5.74,1
4.76,1
2.1,0
5.81,1
2.4,0
7.0,1
7.66,1
5.91,0
3.86,0
5.24,0
7.13,1
3.72,0
3.55,1
4.59,0
7.23,1
2.53,0
2.55,0
7.16,0
4.36,0
2.73,0
4.85,1
4.31,0
5.66,1
5.51,1
2.06,0
5.38,0
4.56,1
5.31,1
3.87,0
5.37,1
2.75,0
3.74,0
6.27,1
5.73,0
5.34,0
2.7,0
2.2,0
4.88,0
3.95,1
5.73,0
2.37,0
6.91,0
4.8,0
2.3,0
2.18,0
4.19,0
3.6,1
3.19,0
7.36,1
6.51,1
3.61,0
4.8,0
2.61,0
6.24,1
7.95,1
4.45,0
4.55,1
7.55,1
7.91,1
7.86,0
5.41,0
6.2,1
2.09,1
3.74,0
5.15,0
5.62,1
7.43,1
2.53,0
7.57,1
7.13,0
4.69,0
5.78,1
4.38,0
5.95,1
5.84,1
6.3,1
6.19,1
4.72,0
7.36,1
6.52,1
5.06,1
3.49,1
7.15,1
7.37,1
6.73,1
7.42,0
4.75,0
4.89,1
2.41,0
4.32,0
4.5,0
