Run,Base_Cake,Desiccator,T_C,RH_pct,RH_Sensor,Initial_g,Final_g,Time_min,Pct_Change,Run_Global
1,A,4,24,80,RH03,2.4073,2.423405179941632,5,0.6690142459033711,1
2,A,18,24,80,RH03,2.3836,2.395006019635185,10,0.4785207096486433,2
3,A,17,24,80,RH03,2.4041,2.421272644043344,15,0.7143065614302214,3
4,A,20,24,80,RH03,2.3681,2.39123418100888,20,0.9769089569224312,4
5,A,19,24,80,RH03,2.3895,2.400246871533296,30,0.4497539875830047,5
6,A,7,24,80,RH03,2.4102,2.421040089319084,61,0.4497589129152805,6
7,A,4,24,80,RH02,2.3848,2.4084992801672658,284,0.9937638446522127,7
8,A,17,24,80,RH01,2.4199,2.4380548259032317,5631,0.7502304187458815,8
9,A,18,24,80,RH01,2.4,2.4090997844212683,5630,0.37915768421951473,9
10,A,20,24,80,RH01,2.4065,2.4229308122346684,5629,0.6827680130757773,10
11,A,17,24,80,RH01,2.493,2.5024976990754557,1440,0.38097469215627094,11
12,A,18,24,80,RH01,2.4084,2.417558689384504,1440,0.3802810739289124,12
13,A,20,24,80,RH01,2.4395,2.4539562008844555,1440,0.5925886814697997,13
14,A,20,24,80,RH02,2.4218,2.420492613710463,480,-0.0539840733973479,14
15,A,18,24,80,RH03,2.3842,2.384260192711167,960,0.0025246502460772218,15
16,A,17,24,80,RH01,2.3832,2.3915725090809383,2880,0.3513137412276913,16
17,A,20,24,80,RH02,2.4071,2.4123029626307293,1440,0.21615066389969267,17
18,B,20,24,80,RH02,2.4422,2.449781620479615,1440,0.3104422438627,18
19,A,3,24,56,RH03,2.4438,2.4461535966440304,1440,0.09630888959941294,19
20,B,3,24,56,RH03,2.4488,2.467053278396776,1440,0.7453968636383507,20
21,A,2,24,33,RH04,2.4388,2.4519758233567788,1440,0.5402584614063758,21
22,B,2,24,33,RH04,2.4288,2.430542312926669,1440,0.07173554539975108,22
23,A,1,24,11,RH04,2.3825,2.395681819209951,1440,0.553276776912962,23
24,B,1,24,11,RH04,2.5488,2.5590591924672106,1440,0.4025106900192495,24
1,A,4,24,80,RH03,2.4073,2.415480207445276,5,0.33980839302438093,25
2,A,18,24,80,RH03,2.3836,2.3939088763339784,10,0.43249187506202713,26
3,A,17,24,80,RH03,2.4041,2.4122616314006184,15,0.3394880163311975,27
4,A,20,24,80,RH03,2.3681,2.3935732599062067,20,1.0756834553526724,28
5,A,19,24,80,RH03,2.3895,2.4018286451444664,30,0.515950832578632,29
6,A,7,24,80,RH03,2.4102,2.415085155357092,61,0.20268672131324725,30
7,A,4,24,80,RH02,2.3848,2.403085775319151,284,0.7667634736309633,31
8,A,17,24,80,RH01,2.4199,2.4236205213543056,5631,0.15374690500869664,32
9,A,18,24,80,RH01,2.4,2.4139838178840343,5630,0.5826590785014315,33
10,A,20,24,80,RH01,2.4065,2.40486596154065,5629,-0.06790103716393361,34
11,A,17,24,80,RH01,2.493,2.496030096540289,1440,0.12154418533048385,35
12,A,18,24,80,RH01,2.4084,2.4223460418014016,1440,0.5790583707607411,36
13,A,20,24,80,RH01,2.4395,2.457589867665696,1440,0.7415399739986237,37
14,A,20,24,80,RH02,2.4218,2.4356384191101577,480,0.5714104843569859,38
15,A,18,24,80,RH03,2.3842,2.3957706540953896,960,0.48530551528352106,39
16,A,17,24,80,RH01,2.3832,2.3934398690180148,2880,0.42966889132321123,40
17,A,20,24,80,RH02,2.4071,2.4089400691509595,1440,0.07644340288977147,41
18,B,20,24,80,RH02,2.4422,2.4480085169292027,1440,0.23783952703310907,42
19,A,3,24,56,RH03,2.4438,2.464257945889301,1440,0.8371366678656622,43
20,B,3,24,56,RH03,2.4488,2.4502646667376338,1440,0.05981161130488001,44
21,A,2,24,33,RH04,2.4388,2.4538528879536803,1440,0.6172251908184436,45
22,B,2,24,33,RH04,2.4288,2.43462685985162,1440,0.23990694382493472,46
23,A,1,24,11,RH04,2.3825,2.39926095627449,1440,0.7035028866522716,47
24,B,1,24,11,RH04,2.5488,2.574430323468685,1440,1.00558394023404,48
1,A,4,24,80,RH03,2.4073,2.413757214969039,5,0.2682347430332209,49
2,A,18,24,80,RH03,2.3836,2.393783604142763,10,0.42723628724462914,50
3,A,17,24,80,RH03,2.4041,2.418990491246312,15,0.619379029421069,51
4,A,20,24,80,RH03,2.3681,2.387344685246616,20,0.8126635381367313,52
5,A,19,24,80,RH03,2.3895,2.398490439476006,30,0.3762477286464149,53
6,A,7,24,80,RH03,2.4102,2.4213906142033346,61,0.4643023070008484,54
7,A,4,24,80,RH02,2.3848,2.389285797061971,284,0.18809950779819634,55
8,A,17,24,80,RH01,2.4199,2.423799378771162,5631,0.16113801277580245,56
9,A,18,24,80,RH01,2.4,2.418330185921238,5630,0.7637577467182559,57
10,A,20,24,80,RH01,2.4065,2.428805174886267,5629,0.9268720085712464,58
11,A,17,24,80,RH01,2.493,2.5054250363007005,1440,0.49839696352589563,59
12,A,18,24,80,RH01,2.4084,2.428174405893849,1440,0.821059869367595,60
13,A,20,24,80,RH01,2.4395,2.4548320332493105,1440,0.628490807514276,61
14,A,20,24,80,RH02,2.4218,2.429706306934892,480,0.32646407361846214,62
15,A,18,24,80,RH03,2.3842,2.39918275820796,960,0.6284186816525562,63
16,A,17,24,80,RH01,2.3832,2.4065889862356054,2880,0.9814109699398024,64
17,A,20,24,80,RH02,2.4071,2.419358209423775,1440,0.5092521882670148,65
18,B,20,24,80,RH02,2.4422,2.4433479609928344,1440,0.04700519993588597,66
19,A,3,24,56,RH03,2.4438,2.4625334560205765,1440,0.7665707513125674,67
20,B,3,24,56,RH03,2.4488,2.4597634541219406,1440,0.4477072085078722,68
21,A,2,24,33,RH04,2.4388,2.452153118545444,1440,0.5475282329606395,69
22,B,2,24,33,RH04,2.4288,2.4301743279968955,1440,0.05658465072857503,70
23,A,1,24,11,RH04,2.3825,2.39744146210488,1440,0.6271337714535157,71
24,B,1,24,11,RH04,2.5488,2.5656245712854666,1440,0.6600977434662061,72
1,A,4,24,80,RH03,2.4073,2.413979100049266,5,0.2774519191320509,73
2,A,18,24,80,RH03,2.3836,2.392406755732736,10,0.3694728869246627,74
3,A,17,24,80,RH03,2.4041,2.4232034746935027,15,0.7946206353106192,75
4,A,20,24,80,RH03,2.3681,2.382749666508356,20,0.618625332897934,76
5,A,19,24,80,RH03,2.3895,2.398127813979296,30,0.36107193886989447,77
6,A,7,24,80,RH03,2.4102,2.426444271501869,61,0.6739802299339852,78
7,A,4,24,80,RH02,2.3848,2.397895491619056,284,0.5491232648044275,79
8,A,17,24,80,RH01,2.4199,2.439515552037772,5631,0.8105934971598776,80
9,A,18,24,80,RH01,2.4,2.407425217724083,5630,0.30938407183680094,81
10,A,20,24,80,RH01,2.4065,2.416648243132637,5629,0.42170135602065995,82
11,A,17,24,80,RH01,2.493,2.5030310231227246,1440,0.4023675540603589,83
12,A,18,24,80,RH01,2.4084,2.410349491796756,1440,0.08094551556037055,84
13,A,20,24,80,RH01,2.4395,2.454352556247697,1440,0.608836083119373,85
14,A,20,24,80,RH02,2.4218,2.436290030974496,480,0.598316581653966,86
15,A,18,24,80,RH03,2.3842,2.3966344145099807,960,0.5215340369927373,87
16,A,17,24,80,RH01,2.3832,2.393915435831221,2880,0.44962385998745985,88
17,A,20,24,80,RH02,2.4071,2.4093961032604314,1440,0.09538877738488699,89
18,B,20,24,80,RH02,2.4422,2.4503339078087,1440,0.33305658048889175,90
