Run,Base_Cake,Desiccator,T_C,RH_pct,RH_Sensor,Initial_g,Final_g,Time_min,Pct_Change,Run_Global
1,A,4,24,80,RH03,2.4073,2.423405179941632,5,0.6690142459033698,1
2,A,18,24,80,RH03,2.3836,2.395006019635185,10,0.4785207096486446,2
3,A,17,24,80,RH03,2.4041,2.4212726440433436,15,0.7143065614302078,3
4,A,20,24,80,RH03,2.3681,2.3912341810088797,20,0.9769089569224076,4
5,A,19,24,80,RH03,2.3895,2.400246871533296,30,0.4497539875829992,5
6,A,7,24,80,RH03,2.4102,2.4210400893190838,61,0.44975891291524583,6
7,A,4,24,80,RH02,2.3848,2.4084992801672658,284,0.9937638446522175,7
8,A,17,24,80,RH01,2.4199,2.4380548259032313,5631,0.7502304187458726,8
9,A,18,24,80,RH01,2.4,2.4090997844212683,5630,0.3791576842195144,9
10,A,20,24,80,RH01,2.4065,2.4229308122346684,5629,0.6827680130757894,10
11,A,17,24,80,RH01,2.493,2.5024976990754553,1440,0.38097469215626134,11
12,A,18,24,80,RH01,2.4084,2.417558689384504,1440,0.38028107392892296,12
13,A,20,24,80,RH01,2.4395,2.4539562008844555,1440,0.5925886814698103,13
14,A,20,24,80,RH02,2.4218,2.420492613710463,480,-0.05398407339733935,14
15,A,18,24,80,RH03,2.3842,2.384260192711167,960,0.0025246502460901654,15
16,A,17,24,80,RH01,2.3832,2.3915725090809383,2880,0.3513137412277082,16
17,A,20,24,80,RH02,2.4071,2.4123029626307293,1440,0.2161506638996729,17
18,B,20,24,80,RH02,2.4422,2.449781620479615,1440,0.31044224386269154,18
19,A,3,24,56,RH03,2.4438,2.4461535966440304,1440,0.09630888959941258,19
20,B,3,24,56,RH03,2.4488,2.467053278396776,1440,0.7453968636383501,20
21,A,2,24,33,RH04,2.4388,2.4519758233567788,1440,0.5402584614063771,21
22,B,2,24,33,RH04,2.4288,2.4305423129266694,1440,0.07173554539975388,22
23,A,1,24,11,RH04,2.3825,2.395681819209951,1440,0.5532767769129598,23
24,B,1,24,11,RH04,2.5488,2.5590591924672106,1440,0.402510690019241,24
1,A,4,24,80,RH03,2.4073,2.4154802074452757,5,0.3398083930243585,25
2,A,18,24,80,RH03,2.3836,2.3939088763339784,10,0.432491875062017,26
3,A,17,24,80,RH03,2.4041,2.4122616314006184,15,0.339488016331181,27
4,A,20,24,80,RH03,2.3681,2.3935732599062067,20,1.0756834553526813,28
5,A,19,24,80,RH03,2.3895,2.4018286451444664,30,0.5159508325786198,29
6,A,7,24,80,RH03,2.4102,2.4150851553570916,61,0.2026867213132299,30
7,A,4,24,80,RH02,2.3848,2.403085775319151,284,0.7667634736309568,31
8,A,17,24,80,RH01,2.4199,2.4236205213543056,5631,0.15374690500869337,32
9,A,18,24,80,RH01,2.4,2.4139838178840343,5630,0.5826590785014266,33
10,A,20,24,80,RH01,2.4065,2.40486596154065,5629,-0.06790103716393259,34
11,A,17,24,80,RH01,2.493,2.496030096540289,1440,0.1215441853304709,35
12,A,18,24,80,RH01,2.4084,2.4223460418014016,1440,0.5790583707607371,36
13,A,20,24,80,RH01,2.4395,2.457589867665696,1440,0.7415399739986231,37
14,A,20,24,80,RH02,2.4218,2.4356384191101577,480,0.5714104843569912,38
15,A,18,24,80,RH03,2.3842,2.3957706540953896,960,0.48530551528352783,39
16,A,17,24,80,RH01,2.3832,2.3934398690180148,2880,0.4296688913232134,40
17,A,20,24,80,RH02,2.4071,2.4089400691509595,1440,0.0764434028897718,41
18,B,20,24,80,RH02,2.4422,2.4480085169292027,1440,0.23783952703312203,42
19,A,3,24,56,RH03,2.4438,2.464257945889301,1440,0.8371366678656746,43
20,B,3,24,56,RH03,2.4488,2.4502646667376338,1440,0.059811611304872114,44
21,A,2,24,33,RH04,2.4388,2.4538528879536803,1440,0.6172251908184385,45
22,B,2,24,33,RH04,2.4288,2.43462685985162,1440,0.23990694382494912,46
23,A,1,24,11,RH04,2.3825,2.39926095627449,1440,0.7035028866522604,47
24,B,1,24,11,RH04,2.5488,2.574430323468685,1440,1.0055839402340498,48
1,A,4,24,80,RH03,2.4073,2.413757214969039,5,0.2682347430332085,49
2,A,18,24,80,RH03,2.3836,2.393783604142763,10,0.42723628724463564,50
3,A,17,24,80,RH03,2.4041,2.418990491246312,15,0.6193790294210693,51
4,A,20,24,80,RH03,2.3681,2.3873446852466156,20,0.8126635381367078,52
5,A,19,24,80,RH03,2.3895,2.398490439476006,30,0.37624772864641304,53
6,A,7,24,80,RH03,2.4102,2.4213906142033346,61,0.4643023070008549,54
7,A,4,24,80,RH02,2.3848,2.389285797061971,284,0.18809950779819157,55
8,A,17,24,80,RH01,2.4199,2.423799378771162,5631,0.1611380127757988,56
9,A,18,24,80,RH01,2.4,2.418330185921238,5630,0.7637577467182595,57
10,A,20,24,80,RH01,2.4065,2.428805174886267,5629,0.926872008571247,58
11,A,17,24,80,RH01,2.493,2.5054250363007005,1440,0.49839696352589985,59
12,A,18,24,80,RH01,2.4084,2.428174405893849,1440,0.8210598693676072,60
13,A,20,24,80,RH01,2.4395,2.4548320332493105,1440,0.6284908075142903,61
14,A,20,24,80,RH02,2.4218,2.429706306934892,480,0.32646407361846275,62
15,A,18,24,80,RH03,2.3842,2.3991827582079597,960,0.6284186816525242,63
