estado,porcentaje
Oaxaca,0.4
Nuevo león,0.788
Guerrero,0.471
Hidalgo,0.453
Baja california sur,0.703
Puebla,0.485
Nayarit,0.533
Tabasco,0.452
Baja california,0.758
Quintana roo,0.659
Michoacan de ocampo,0.487
Tamaulipas,0.659
Veracruz de ignacio de la llave,0.467
Sinaloa,0.579
Colima,0.671
Ciudad de mexico,0.805
Morelos,0.658
Veracruz de ignacio,0.467
Chiapas,0.273
Mexico,0.706
Tlaxcala,0.473
Yucatan,0.554
Durango,0.497
Chihuahua,0.657
Zacatecas,0.568
Jalisco,0.669
Coahuila de zaragoza,0.649
San luis potosi,0.498
Aguascalientes,0.687
Campeche,0.537
Nuevo leon,0.788
Queretaro,0.706
Guanajuato,0.553
Sonora,0.795
