Concentration,Pressure,Time,Resistance
2%,400,3h,196.6
2%,500,3h,197.7
2%,650,3h,199.8
2%,400,3h,196.0
2%,500,3h,196.0
2%,650,3h,199.4
4%,400,3h,198.5
4%,500,3h,196.0
4%,650,3h,198.4
4%,400,3h,197.2
4%,500,3h,196.9
4%,650,3h,197.6
8%,400,3h,197.5
8%,500,3h,195.6
8%,650,3h,197.4
8%,400,3h,196.6
8%,500,3h,196.2
8%,650,3h,198.1
2%,400,4h,198.4
2%,500,4h,199.6
2%,650,4h,200.6
2%,400,4h,198.6
2%,500,4h,200.4
2%,650,4h,200.9
4%,400,4h,197.5
4%,500,4h,198.7
4%,650,4h,199.6
4%,400,4h,198.1
4%,500,4h,198.0
4%,650,4h,199.0
8%,400,4h,197.6
8%,500,4h,197.0
8%,650,4h,198.5
8%,400,4h,198.4
8%,500,4h,197.8
8%,650,4h,199.8
