Run,Base_Cake,Desiccator,T_C,RH_pct,Initial_g,Final_g,Time_min,Pct_Change,RH_Sensor,Run_Global
1,A,4.092298622,24,73.9468132,2.393007946,2.483178301,1390.704514,3.785387909,RH03,1
2,A,24.07660091,24,86.60232817,2.417468946,3.098286303,3934.589174,28.30593652,RH02,2
3,A,16.02695263,24,93.34520455,2.422751018,2.550929639,-395.825114,5.199428686,RH04,3
4,A,13.36346841,24,72.57171564,2.4096969,2.328169115,-2359.999338,-3.490172714,RH04,4
5,A,21.01961112,24.00000001,88.47877643,2.405071361,2.948411217,4319.62329,22.64507709,RH02,5
6,A,17.40263203,24,80.53607272,2.421273574,2.753404537,2662.708357,13.67765083,RH01,6
7,A,26.17658125,24.00000001,71.22326328,2.399429257,2.720935826,2644.492506,13.16689135,RH03,7
8,A,11.40936043,24,68.21491898,2.372433525,2.455939221,8.534803771,3.646078252,RH01,8
9,A,11.62676595,24,62.40954106,2.425392896,2.908041627,2899.285333,19.92896186,RH03,9
10,A,32.53043162,24,94.26457048,2.429320994,3.049878311,5084.909102,25.62323523,RH01,10
11,A,-1.996328355,24,49.52105884,2.401505517,2.124654502,-1436.629834,-11.41544263,RH01,11
12,A,23.78099173,24,107.7546025,2.407112308,2.437292496,-2712.665376,1.252876886,RH01,12
13,A,12.29787759,24,78.99086208,2.411057923,2.597736245,180.7693605,7.628185923,RH01,13
14,A,22.33439594,24,93.38477009,2.381812853,2.833263436,2171.408588,18.81778968,RH04,14
15,A,14.67891492,24,92.33790088,2.35314774,2.233052516,301.4556292,-4.874622712,RH01,15
16,A,24.1585729,24,123.5142928,2.479391485,3.198906447,1180.270959,29.5919297,RH02,16
17,A,5.408169986,24,75.43166852,2.439938028,2.793055492,1367.914414,14.69385409,RH01,17
18,A,2.437371681,24,56.42517124,2.444862597,2.374674349,-1230.202162,-3.088211252,RH03,18
19,A,21.55037858,24,98.58729321,2.408296256,2.651128787,839.8401332,10.01985905,RH01,19
20,A,9.977093201,24,62.54828668,2.401615707,2.814942573,4128.9694,17.29572343,RH01,20
21,A,11.12008166,24,86.62196523,2.423672822,2.654058809,2897.837091,9.467981846,RH03,21
22,A,12.8256656,24,99.14408318,2.405178393,2.761604407,1996.551018,14.73905373,RH01,22
23,A,12.13501459,24,67.21750128,2.402014288,2.441915174,1103.503275,1.578663097,RH01,23
24,A,20.02695405,24.00000001,98.02837946,2.448532714,2.94452511,2719.127628,20.36636732,RH03,24
25,A,19.70748886,24,84.82274669,2.412153495,3.137321377,3800.767967,30.16083352,RH01,25
26,A,15.55726896,24,74.79922181,2.411617942,2.519584132,669.4888373,4.326870596,RH01,26
27,A,14.87694178,24,66.76641088,2.402981945,2.79448129,4308.743888,16.30331467,RH01,27
28,A,17.17855326,24,74.8038366,2.42812994,2.72863546,942.8632295,12.33608796,RH04,28
29,A,8.758215274,24,48.66898283,2.431214073,2.649366851,2733.219414,8.836126166,RH01,29
30,A,4.528179484,24.00000001,50.62610074,2.362590682,2.060927921,-1326.193937,-12.23252531,RH03,30
31,A,22.09823364,24,93.51007269,2.338941647,2.592587908,3229.008269,10.94478221,RH01,31
32,A,10.9712847,24,80.2255404,2.413633739,2.62639934,291.2313005,8.844510815,RH03,32
33,A,5.671951983,24,51.43396508,2.405945321,2.563179006,2229.895448,6.358369569,RH03,33
34,A,17.54933091,24,89.61901403,2.423102645,2.749845084,-343.2973376,13.31358941,RH02,34
35,A,19.99236922,24,97.91266244,2.438379305,2.95673481,3316.773974,21.28467739,RH01,35
36,A,6.535762821,24,58.28829837,2.367936141,2.646153038,1616.124147,11.87001982,RH03,36
37,A,22.60563983,24,94.76338431,2.415481477,2.795480774,3358.715367,15.7585793,RH01,37
38,A,19.20114676,24,75.55336409,2.321069875,2.470029624,598.3922563,6.665529778,RH02,38
39,A,13.80391756,24,62.99563174,2.484034794,2.714401836,1130.338606,8.981908921,RH03,39
40,A,24.79975681,24,82.66710155,2.444257748,3.275539191,7725.177559,34.36042757,RH01,40
41,A,23.36314601,23.99999999,89.39221197,2.35586437,2.634995059,1889.395304,11.87814479,RH03,41
42,A,5.88878544,24,62.33407356,2.379331769,2.398825935,801.9442105,0.848443128,RH02,42
43,A,10.65892361,24,63.37881244,2.393823571,2.70364969,4478.672459,12.98064887,RH01,43
44,A,12.83585476,24.00000001,91.66360043,2.468520147,2.947928082,2894.923476,19.50114512,RH01,44
45,A,14.30586524,24,66.08565092,2.405260603,2.574064525,669.5936548,7.067053309,RH01,45
46,A,-1.661611081,24,55.54061282,2.443397011,2.811669965,1656.266707,15.1250846,RH03,46
47,A,5.049498417,24,83.37279964,2.39829259,2.542728341,1784.580967,6.133983567,RH01,47
48,A,14.88129614,24,71.63818171,2.404136343,2.476971877,-485.7335193,2.955115433,RH03,48
49,A,14.04055299,24,63.97994633,2.476141346,2.556487961,-1155.259518,2.833890886,RH03,49
50,A,0.080725438,24,44.39088141,2.451774874,2.575475729,1222.746007,4.975547196,RH02,50
51,A,9.277884508,24,47.15049453,2.389738394,2.548509434,1898.058923,6.561660102,RH03,51
52,A,12.80882017,24,77.1972,2.435157158,2.7581345,1768.894778,13.27399714,RH01,52
53,A,20.49642447,24,75.81452794,2.375421481,2.248826621,-3142.835252,-5.272914198,RH03,53
54,A,5.74563929,24,83.3643044,2.434539858,2.672291959,908.2065837,9.846544286,RH02,54
55,A,11.97306655,24,59.02730071,2.396558214,2.722578942,4476.874953,13.57414056,RH02,55
56,A,24.53678151,24,95.65552059,2.397274142,2.775489779,842.6126958,15.67930023,RH01,56
57,A,1.728002524,24.00000001,65.99115844,2.448565942,2.208543064,-1901.905523,-10.08748253,RH03,57
58,A,24.18288236,24,73.68999705,2.397634632,2.836399852,1635.664585,18.11063713,RH02,58
59,A,10.3857467,23.99999999,73.09940809,2.403207883,2.579754351,1644.916421,7.319023704,RH01,59
60,A,9.568567502,24,47.04447004,2.425686843,2.697886907,2509.935811,11.11627168,RH04,60
61,A,7.046231368,24.00000001,57.45907097,2.386389373,2.54897923,3126.783608,6.805406039,RH01,61
62,A,18.99253779,24,78.27120424,2.44279178,2.740867454,1649.877559,12.26851635,RH03,62
63,A,3.871942742,24,45.72843576,2.390493199,2.352665659,-1823.117996,-1.497338343,RH03,63
64,A,8.70177715,24,70.27093683,2.386342568,2.31587964,-153.404529,-2.656199252,RH03,64
65,A,16.34595053,24,56.02014535,2.437759141,3.083498858,3881.348571,26.59259238,RH04,65
66,A,11.11925093,24,52.64698978,2.436926714,2.61757144,780.8799066,7.33983751,RH01,66
67,A,7.379402424,24,63.07135138,2.420868194,2.340307336,-105.3132495,-3.439541532,RH03,67
68,A,12.50616056,24,85.29356492,2.395197453,2.52745319,251.6647945,5.558668952,RH03,68
69,A,19.37084856,24,81.92120288,2.403608227,2.717226815,3300.730729,13.00300394,RH01,69
70,A,30.52601877,24,93.53713028,2.405471665,3.169236441,4945.049105,31.6355367,RH03,70
71,A,23.76424573,24,108.7939134,2.399707659,2.89089656,2718.009608,20.3858604,RH01,71
72,A,17.34879511,24,94.565693,2.397395678,2.741801984,1350.479172,14.26181265,RH03,72
73,A,9.331903095,24,89.68290588,2.381743788,2.345913393,182.456537,-1.315154036,RH04,73
74,A,12.36890581,24,88.08896889,2.422056742,2.655159063,2043.966092,9.529896626,RH02,74
